epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4873,2.16459,8.3506,0.01208,0.00051,0.125,0.00387,0.00254,1.6813,10.556,0.01278,6e-05,6e-05,6e-05
2,26.7289,1.75198,8.36815,0.01033,0.00077,0.1875,0.0099,0.00817,1.4014,9.94092,0.01192,0.000137228,0.000137228,0.000137228
3,35.3963,1.40814,6.6563,0.00746,0.00128,0.3125,0.00542,0.00241,1.42411,9.79817,0.01334,0.000211288,0.000211288,0.000211288
4,45.4783,1.57967,6.72767,0.00714,0.00179,0.4375,0.0398,0.01007,1.40631,9.76026,0.01433,0.00028218,0.00028218,0.00028218
5,55.4513,1.37164,6.98829,0.00869,0.00179,0.4375,0.06332,0.02766,1.2069,9.46638,0.01277,0.000349904,0.000349904,0.000349904
6,65.5484,1.45605,5.84921,0.00681,0.00179,0.4375,0.12082,0.0666,1.19067,9.42417,0.01087,0.00041446,0.00041446,0.00041446
7,75.6087,1.37519,5.88029,0.00627,0.00256,0.625,0.14312,0.06628,1.28696,9.46516,0.01297,0.000475848,0.000475848,0.000475848
8,85.5066,1.44773,5.60631,0.00619,0.00179,0.4375,0.11465,0.05941,1.31025,9.41049,0.01254,0.000534068,0.000534068,0.000534068
9,95.8414,1.45157,5.96243,0.00631,0.00231,0.5625,0.14464,0.06116,1.31071,9.3156,0.01217,0.00058912,0.00058912,0.00058912
10,105.851,1.45203,5.83934,0.00747,0.00179,0.4375,0.09276,0.0401,1.17921,9.02935,0.01057,0.000641004,0.000641004,0.000641004
11,115.767,1.36298,5.31954,0.00736,0.00179,0.4375,0.10124,0.05548,1.19724,8.97883,0.01,0.00068972,0.00068972,0.00068972
12,125.66,1.47451,4.62688,0.00631,0.00179,0.4375,0.08467,0.02598,1.08558,8.85764,0.00938,0.000735268,0.000735268,0.000735268
